raw_data_shape,xy_size,z_size,min_psnr,max_psnr,stacksize,virtual_size,psnr_sampling,max_probability,depth,start_filts,z_conv_stage,group_norm,masked,loss_function,up_mode,activation,block_type,name,lr,patience,batch_size,epochs,depth_scale,rotation,down_mode,Mean_psnr,Std_psnr,Min_psnr,Max_psnr,Mean_ssim,Std_ssim,Min_ssim,Max_ssim
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,6,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,5.00E-05,5,1,250,2,10,,29.26790366,1.127452684,26.02138671,33.37567898,0.8998474647,0.01839024193,0.8573758176,0.9493366777
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,2000,2000,db,0.99,5,24,6,0,TRUE,photon,trilinear,relu,tri,adamw,2.00E-05,5,5,250,3,,,29.11658641,0.9315664247,27.23693758,32.41387264,0.8865012602,0.01608441008,0.8361510685,0.9324303395
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,36,3,6,TRUE,photon,pixelshuffle,relu,tri,adamw,0.0001,5,1,250,2,,,28.61949897,0.9821569724,26.44584561,31.8435753,0.8689345378,0.02144401623,0.7938087064,0.9237490413
"(3400, 512, 512)",256,32,0.999,0.999999,1000,1000,signal,0.9999999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,3.20E-05,20,4,150,2,0,maxpool,28.43097389,1.663467031,25.87921633,32.49695103,0.8548660976,0.03585778058,0.7768663487,0.9298376678
"(3990, 512, 512)",256,1,-15.48838973,-10.53726315,10000,10000,signal,0.99,5,64,0,0,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,50,250,2,10,,28.35654276,0.7249816442,27.14507561,30.96488613,0.8797170115,0.01681847214,0.844315893,0.9237087064
"(3990, 512, 512)",256,32,-21.34786606,-16.30371571,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,10,,28.30952144,0.9431916576,25.95261624,31.43481215,0.8570220207,0.02338447318,0.7917173602,0.9176676351
"(3990, 512, 512)",256,160,-15.48838973,-10.53726315,200,200,signal,0.99,4,36,6,16,TRUE,photon,trilinear,relu,tri,adamw,5.00E-05,5,1,250,2,,,28.20113096,0.977521808,26.35268739,31.35117625,0.8526188576,0.02165606099,0.7990965872,0.9097543893
"(3990, 512, 512)",256,128,-15.48838973,-10.53726315,100,100,signal,0.99,5,32,4,8,TRUE,photon,pixelshuffle,relu,tri,adamw,5.00E-05,5,1,250,2,,,28.14170648,0.9497848135,25.9572795,31.2964426,0.8527239764,0.02187578335,0.7804135783,0.9119698255
"(3990, 512, 512)",256,1,-15.48838973,-10.53726315,10000,10000,signal,0.99,5,64,0,2,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,50,250,2,10,,28.02303185,0.656368794,26.83712135,30.57193864,0.8766145242,0.01486614806,0.841987344,0.9203756224
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,2000,2000,db,0.99,5,48,6,0,TRUE,photon,trilinear,relu,tri,adamw,2.00E-05,5,5,200,1,,,27.89365638,0.9291754491,26.45436286,30.96306882,0.8613391831,0.01978241101,0.8116273463,0.9167989886
"(3990, 512, 512)",256,32,-24.53809023,-19.25639868,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,10,maxpool,27.8307394,0.7870115815,26.18905096,30.79171032,0.8301952209,0.02255149488,0.7764014324,0.8871967082
"(3990, 512, 512)",128,64,-15.48838973,-10.53726315,1000,1000,db,0.99,5,45,6,0,TRUE,photon,trilinear,relu,tri,adamw,2.00E-05,5,5,250,2,,,27.77094654,0.9651386618,26.25280898,30.80361699,0.8332715941,0.02495738363,0.7914337247,0.9016368363
"(3990, 512, 512)",256,16,-15.48838973,-10.53726315,1000,1000,signal,0.99,5,32,0,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,6,250,2,10,,27.7146248,0.6944646069,26.48650788,30.45480181,0.861638217,0.01790234317,0.8243121833,0.9113377675
"(3990, 512, 512)",256,32,-24.53809023,-19.25639868,1000,1000,signal,0.99,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,4,250,2,0,maxpool,27.52987129,0.8113041786,26.07262859,30.69557127,0.8635021435,0.02001454998,0.8219964875,0.9213738305
"(3990, 512, 512)",128,128,-15.48838973,-10.53726315,1000,1000,db,0.99,5,24,6,0,TRUE,photon,trilinear,silu,dual,adamw,1.00E-05,10,5,200,2,,,27.280127,0.8524025821,25.69067508,30.10706436,0.7937403291,0.02771896942,0.7502371261,0.8733629546
"(3990, 512, 512)",256,32,0.9999,0.9999,1000,1000,signal,0.99999,5,32,2,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.00032,20,4,500,2,0,maxpool,27.10136194,0.9368546492,25.92908088,30.34264147,0.8119654437,0.03107960411,0.7684463068,0.8956414226
"(3990, 512, 512)",128,128,-15.48838973,-10.53726315,1000,1000,db,0.99,5,24,6,0,TRUE,photon,transpose,relu,tri,adamw,2.00E-05,5,5,100,2,,,27.02970418,0.9075890813,25.48483529,29.89194307,0.8083780561,0.02765822039,0.7671772333,0.8850958014
"(3990, 512, 512)",256,1,-15.48838973,-10.53726315,10000,10000,signal,0.99,5,32,0,8,TRUE,photon,pixelshuffle,gelu,tri,adamw,0.0001,5,100,250,2,10,,26.95386157,0.7595522696,25.91285612,29.83415352,0.8408362612,0.02112335877,0.8051918406,0.9036978766
